t,speed,mph,steer,throttle,longG,latG,yaw,expectYaw,understeer,oversteer,jolt,angVelX,angVelZ,vy,fireRaw,fxActive,fxFired,center,corner,oversteer,brake,texture,scrub,judder,impact,weapon,force
2.569,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.590,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.611,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.628,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
2.646,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.662,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.683,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.715,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.747,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.768,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
2.794,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.810,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
2.840,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.862,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.880,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.897,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
2.919,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
2.942,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
2.965,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.981,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
2.998,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.022,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
3.039,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
3.056,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
3.073,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
3.097,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
3.122,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.138,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
3.169,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
3.195,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
3.212,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.229,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
3.247,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
3.269,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.293,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
3.311,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
3.340,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
3.362,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.379,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
3.397,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.419,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
3.441,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
3.457,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.474,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
3.496,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,0,0,0,0,0,0
3.519,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
3.544,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.560,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,2,0,0,0,0,0
3.577,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
3.599,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-2,0,0,0,0,0
3.621,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,-1,0,0,0,0,0
3.639,0.370,0.8,0.019,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0,0,0,-31,0,0,0,1,0,0,0,0,0
