t,offset,oldInt,newInt,oldFloat,newFloat
5.434,352,1031659520,1027637248,0.0619812,0.04699707
5.486,12,1873,1871,2.624632E-42,2.621829E-42
5.487,216,-1068920881,-1064668039,-3.149402,-4.326718
5.488,220,-1101066109,-1104210388,-0.2178364,-0.170983
5.489,224,-1024419092,-1024420731,-120.3026,-120.2901
5.49,228,1055896782,1055824638,0.4681763,0.4660262
5.49,232,1055896782,1055824638,0.4681763,0.4660262
5.491,236,1055896782,1055824638,0.4681763,0.4660262
5.492,240,-1129578538,-1125364761,-0.02099602,-0.02884479
5.493,244,-1173246786,-1176195265,-0.0005557052,-0.0004361812
5.493,248,-1096998591,-1096999661,-0.3068943,-0.3068624
5.494,260,1100376915,1100360152,18.8024,18.77043
5.549,12,1871,1869,2.621829E-42,2.619027E-42
5.55,216,-1064668039,-1075799533,-4.326718,-1.754702
5.551,220,-1104210388,1034966694,-0.170983,0.08610277
5.551,224,-1024420731,-1024422865,-120.2901,-120.2738
5.552,228,1055824638,1055774317,0.4660262,0.4645266
5.553,232,1055824638,1055774317,0.4660262,0.4645266
5.554,236,1055824638,1055774317,0.4660262,0.4645266
5.555,240,-1125364761,-1136678650,-0.02884479,-0.01169801
5.555,244,-1176195265,963006931,-0.0004361812,0.0002196499
5.556,248,-1096999661,-1097001055,-0.3068624,-0.3068209
5.557,260,1100360152,1100338166,18.77043,18.7285
5.558,352,1027637248,1031667712,0.04699707,0.06201172
5.581,12,1869,1867,2.619027E-42,2.616224E-42
5.582,216,-1075799533,-1088785749,-1.754702,-0.6033122
5.582,220,1034966694,1045375650,0.08610277,0.2023111
5.586,224,-1024422865,-1024423222,-120.2738,-120.2711
5.587,228,1055774317,1055747435,0.4645266,0.4637254
5.588,232,1055774317,1055747435,0.4645266,0.4637254
5.588,236,1055774317,1055747435,0.4645266,0.4637254
5.589,240,-1136678650,-1148990550,-0.01169801,-0.004022081
5.59,244,963006931,973556445,0.0002196499,0.0005160997
5.591,248,-1097001055,-1097001288,-0.3068209,-0.306814
5.592,260,1100338166,1100321419,18.7285,18.69655
5.592,352,1031667712,1027637248,0.06201172,0.04699707
5.642,12,1867,1864,2.616224E-42,2.61202E-42
5.643,216,-1088785749,-1078635973,-0.6033122,-1.416572
5.644,220,1045375650,1052400525,0.2023111,0.3639797
5.645,224,-1024423222,-1019170416,-120.2711,-192.6936
5.645,228,1055747435,1055685620,0.4637254,0.4618832
5.646,232,1055747435,1055685620,0.4637254,0.4618832
5.647,236,1055747435,1055685620,0.4637254,0.4618832
5.648,240,-1148990550,-1139099079,-0.004022081,-0.009443813
5.649,244,973556445,980641767,0.0005160997,0.0009285197
5.649,248,-1097001288,-1090802061,-0.306814,-0.4915653
5.65,260,1100321419,1100293126,18.69655,18.64259
5.706,12,1864,1860,2.61202E-42,2.606415E-42
5.707,216,-1078635973,-1063213175,-1.416572,-5.020451
5.708,220,1052400525,-1076336322,0.3639797,-1.690712
5.709,224,-1019170416,-1019171820,-192.6936,-192.6722
5.71,228,1055685620,1055553867,0.4618832,0.4579566
5.71,232,1055685620,1055553867,0.4618832,0.4579566
5.711,236,1055685620,1055553867,0.4618832,0.4579566
5.712,240,-1139099079,-1123477633,-0.009443813,-0.03346967
5.713,244,980641767,-1148365721,0.0009285197,-0.00431304
5.714,248,-1090802061,-1090803895,-0.4915653,-0.4915107
5.714,260,1100293126,1100254760,18.64259,18.56941
5.715,352,1027637248,1031868416,0.04699707,0.0630188
5.736,12,1860,1857,2.606415E-42,2.602211E-42
5.737,216,-1063213175,-1055550555,-5.020451,-9.348546
5.738,220,-1076336322,-1076660944,-1.690712,-1.652014
5.739,224,-1019171820,-1019172349,-192.6722,-192.6641
